model,EOS,Z_amp,Z_lambda,HeII4686_Hb,HeI5016_Hb,OII4651_Hb,OIII5007_Hb,OIII4363_CO_Hb,OIII4363_RR_Hb,OIII4363_CX_Hb,OIII4363_Hb,OIII4363_over_OIII5007
ou5a-T115-L660-n-lha,const_n,0,homog,0.3703,0.03912,0.002777,16.35,0.2739,0.0004005,0.0002206,0.2745,0.01679
ou5a-T115-L660-n-lha-Z06fluct-short,const_n,6,short,0.4126,0.03696,0.01042,11.77,0.08509,0.001266,0.0005569,0.08691,0.007382
ou5a-T115-L660-n-lha-Z06fluct-long,const_n,6,long,0.4095,0.03736,0.007469,13.65,0.103,0.001637,0.0006602,0.1053,0.007719
ou5a-T115-L660-n-lha-Z15fluct-short,const_n,15,short,0.4737,0.03449,0.0273,3.229,0.02798,0.003009,0.000769,0.03175,0.009835
ou5a-T115-L660-n-lha-Z15fluct-long,const_n,15,long,0.4886,0.03415,0.01992,5.439,0.03764,0.003976,0.0008284,0.04245,0.007804
ou5a-T115-L660-n-lha-Z30fluct-short,const_n,30,short,0.4569,0.03492,0.05763,1.106,0.01177,0.004859,0.0006947,0.01733,0.01567
ou5a-T115-L660-n-lha-Z30fluct-long,const_n,30,long,0.4644,0.03344,0.0457,2.197,0.01683,0.006253,0.0007252,0.02381,0.01083
ou5a-T115-L660-n-lha-Z60fluct-short,const_n,60,short,0.402,0.03626,0.114,0.4625,0.006623,0.007158,0.0006181,0.0144,0.03114
ou5a-T115-L660-n-lha-Z60fluct-long,const_n,60,long,0.396,0.03452,0.09317,0.9472,0.00883,0.009135,0.0006425,0.01861,0.01964
